product_line,product_type,product_desc,product_cost
Mountaineering Equipment,Rope,Husky Rope 100,200
Mountaineering Equipment,Rope,Husky Rope 200,300
Mountaineering Equipment,Climbing Accessories,Firefly Charger,400
Mountaineering Equipment,Tools,Granite Ice,400
Mountaineering Equipment,Tools,Granite Shovel,400
Mountaineering Equipment,Rope,Husky Rope 50,400
Mountaineering Equipment,Climbing Accessories,Granite Carabiner,400
Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,400
Mountaineering Equipment,Rope,Husky Rope 60,400
Mountaineering Equipment,Safety,Granite Climbing Helmet,400
Mountaineering Equipment,Safety,Husky Harness Extreme,400
Mountaineering Equipment,Safety,Granite Signal Mirror,400
Mountaineering Equipment,Climbing Accessories,Granite Pulley,400
Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,400
Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,400
Mountaineering Equipment,Tools,Granite Hammer,400
Mountaineering Equipment,Safety,Husky Harness,400
Mountaineering Equipment,Climbing Accessories,Granite Belay,400
Mountaineering Equipment,Tools,Granite Grip,400
Mountaineering Equipment,Tools,Granite Axe,400
Mountaineering Equipment,Tools,Granite Extreme,400
Mountaineering Equipment,Tools,GraniteExtremeGraniteExtremeGraniteExtremeGraniteExtreme,400
