product_line,product_type,product_desc,cost
Mountaineering Equipment,Rope,Husky Rope 100,
Mountaineering Equipment,Rope,Husky Rope 200,
Mountaineering Equipment,Climbing Accessories,Firefly Charger,
Mountaineering Equipment,Tools,Granite Ice,
Mountaineering Equipment,Tools,Granite Shovel,
Mountaineering Equipment,Rope,Husky Rope 50,
Mountaineering Equipment,Climbing Accessories,Granite Carabiner,
Mountaineering Equipment,Climbing Accessories,Granite Chalk Bag,
Mountaineering Equipment,Rope,Husky Rope 60,
Mountaineering Equipment,Safety,Granite Climbing Helmet,
Mountaineering Equipment,Safety,Husky Harness Extreme,
Mountaineering Equipment,Safety,Granite Signal Mirror,
Mountaineering Equipment,Climbing Accessories,Granite Pulley,
Mountaineering Equipment,Climbing Accessories,Firefly Climbing Lamp,
Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,
Mountaineering Equipment,Tools,Granite Hammer,
Mountaineering Equipment,Safety,Husky Harness,
Mountaineering Equipment,Climbing Accessories,Granite Belay,
Mountaineering Equipment,Tools,Granite Grip,
Mountaineering Equipment,Tools,Granite Axe,
Mountaineering Equipment,Tools,Granite Extreme,
